"id","favouritecount"
1715320,"0"
1715264,"0"
1714338,"0"
1714327,"0"
1712580,"0"
1710876,"0"
1710858,"0"
1707204,"0"
1705998,"0"
1699289,"0"
1696423,"0"
1695316,"0"
1693196,"0"
1693163,"0"
1692810,"0"
1691728,"0"
1690631,"0"
1690060,"0"
1689239,"0"
1688804,"0"
1684558,"0"
1679791,"0"
1679717,"0"
1674317,"0"
1654337,"0"
1644725,"0"
1644384,"0"
1643731,"0"
1642593,"0"
1642496,"0"
1639184,"0"
1639155,"0"
1636675,"0"
1635789,"0"
1615338,"0"
1604141,"0"
1601692,"0"
1590699,"0"
1577588,"0"
1574787,"0"
1569493,"0"
1568418,"0"
1566094,"0"
1564361,"0"
1562743,"0"
1559175,"0"
1552087,"0"
1552078,"0"
1552070,"0"
1552044,"0"
1551926,"0"
1551728,"0"
1544385,"0"
1543795,"0"
1537705,"0"
1537534,"0"
1536926,"0"
1533257,"0"
1530471,"0"
1529503,"0"
1526465,"0"
1525138,"0"
1522200,"0"
1521878,"0"
1521479,"0"
1521318,"0"
1521021,"0"
1520844,"0"
1516114,"0"
1513429,"0"
1510247,"0"
1509515,"0"
1502569,"0"
1498916,"0"
1492519,"0"
1472711,"0"
1466659,"0"
1451222,"0"
1449737,"0"
1439269,"0"
1435568,"0"
1425096,"0"
1417696,"0"
1407177,"0"
1403831,"0"
1393029,"0"
1391129,"0"
1388735,"0"
1384804,"0"
1379815,"0"
1379810,"0"
1379418,"0"
1379345,"0"
1379211,"0"
1379054,"0"
1378910,"0"
1378845,"0"
1378436,"0"
1378401,"0"
1378236,"0"
1378132,"0"
1378101,"0"
1378096,"0"
1377026,"0"
1372735,"0"
1372683,"0"
1367654,"0"
1357357,"0"
1357160,"0"
1356516,"0"
1354076,"0"
1338858,"0"
1328672,"0"
1328226,"0"
1318321,"0"
1318159,"0"
1318131,"0"
1317863,"0"
1316966,"0"
1315417,"0"
1313624,"0"
1313035,"0"
1312210,"0"
1311913,"0"
1311191,"0"
1310934,"0"
1308456,"0"
1308347,"0"
1307848,"0"
1306327,"0"
1306309,"0"
1306031,"0"
1306025,"0"
1305005,"0"
1304736,"0"
1304438,"0"
1302769,"0"
1301485,"0"
1297461,"0"
1294686,"0"
1294674,"0"
1292775,"0"
1292764,"0"
1291505,"0"
1290412,"0"
1285494,"0"
1280664,"0"
1280288,"0"
1279603,"0"
1279291,"0"
1273087,"0"
1262477,"0"
1256177,"0"
1251383,"0"
1238797,"0"
1232321,"0"
1230809,"0"
1227798,"0"
1224382,"0"
1223766,"0"
1223348,"0"
1219662,"0"
1218441,"0"
1202623,"0"
1201556,"0"
1199259,"0"
1198559,"0"
1196264,"0"
1177154,"0"
1163783,"0"
1163202,"0"
1159173,"0"
1157304,"0"
1145855,"0"
1143517,"0"
1143076,"0"
1131697,"0"
1131084,"0"
1128664,"0"
1126669,"0"
1125912,"0"
1122738,"0"
1119662,"0"
1119490,"0"
1118239,"0"
1116734,"0"
1113266,"0"
1112889,"0"
1109697,"0"
1109260,"0"
1108100,"0"
1106614,"0"
1103262,"0"
1099407,"0"
1097799,"0"
1097530,"0"
1097339,"0"
1097111,"0"
1096361,"0"
1096239,"0"
1092657,"0"
1090579,"0"
1088733,"0"
1088524,"0"
1088150,"0"
1082685,"0"
1076859,"0"
1076015,"0"
1074452,"0"
1069147,"0"
1068861,"0"
1068395,"0"
1068393,"0"
1067286,"0"
1066127,"0"
1066126,"0"
1049922,"0"
1048972,"0"
1048815,"0"
1036101,"0"
1035410,"0"
1031635,"0"
1030684,"0"
1023817,"0"
1023664,"0"
1018340,"0"
1018323,"0"
1017444,"0"
1017098,"0"
1017021,"0"
1017020,"0"
1016812,"0"
1006073,"0"
1005748,"0"
1004959,"0"
1004764,"0"
1001661,"0"
1000207,"0"
1000110,"0"
993921,"0"
993920,"0"
993233,"0"
992011,"0"
991779,"0"
991203,"0"
990975,"0"
990468,"0"
988779,"0"
983301,"0"
982351,"0"
982185,"0"
980113,"0"
979884,"0"
979860,"0"
977191,"0"
976289,"0"
976097,"0"
975909,"0"
975277,"0"
973708,"0"
972861,"0"
971007,"0"
970438,"0"
969912,"0"
969519,"0"
969210,"0"
969161,"0"
969142,"0"
968996,"0"
968766,"0"
965630,"0"
964448,"0"
964024,"0"
964023,"0"
964022,"0"
964021,"0"
964020,"0"
963522,"0"
963023,"0"
963022,"0"
962959,"0"
961879,"0"
961792,"0"
961664,"0"
961618,"0"
961057,"0"
960838,"0"
959790,"0"
959332,"0"
958172,"0"
957720,"0"
957454,"0"
941708,"0"
934403,"0"
920633,"0"
884442,"0"
875887,"0"
841773,"0"
834169,"0"
831235,"0"
789938,"0"
776574,"0"
768970,"0"
767240,"0"
766701,"0"
765840,"0"
765740,"0"
765366,"0"
764784,"0"
762426,"0"
760620,"0"
751321,"0"
749798,"0"
749790,"0"
748045,"0"
747618,"0"
747240,"0"
742351,"0"
738134,"0"
735009,"0"
734975,"0"
734872,"0"
730776,"0"
716034,"0"
710538,"0"
708314,"0"
705627,"0"
705626,"0"
701572,"0"
701275,"0"
700870,"0"
694530,"0"
692289,"0"
692082,"0"
690197,"0"
690195,"0"
689635,"0"
689463,"0"
689427,"0"
687689,"0"
687271,"0"
681851,"0"
674417,"0"
672941,"0"
669927,"0"
660466,"0"
656332,"0"
652270,"0"
651530,"0"
651345,"0"
649697,"0"
647715,"0"
647644,"0"
647640,"0"
647635,"0"
647629,"0"
647622,"0"
647620,"0"
647605,"0"
647602,"0"
638209,"0"
637373,"0"
629849,"0"
625119,"0"
613690,"0"
603259,"0"
574673,"0"
571235,"0"
546008,"0"
539611,"0"
537403,"0"
533960,"0"
531822,"0"
529071,"0"
524824,"0"
519451,"0"
510949,"0"
492455,"0"
478138,"0"
462581,"0"
460005,"0"
458894,"0"
456097,"0"
450003,"0"
448890,"0"
448747,"0"
444074,"0"
442533,"0"
438782,"0"
437718,"0"
431540,"0"
431537,"0"
416299,"0"
411363,"0"
411351,"0"
408372,"0"
406210,"0"
404828,"0"
400754,"0"
391525,"0"
385738,"0"
376026,"0"
375126,"0"
374706,"0"
374031,"0"
372558,"0"
370171,"0"
370099,"0"
364847,"0"
364842,"0"
363967,"0"
361002,"0"
360814,"0"
360271,"0"
